,name,address,lat,lng
70300044,Ralphs Fresh Fare - Bundy,12057 Wilshire Blvd,34.0449562,-118.46701039999999
70300759,Ralphs Fresh Fare - Westwood,10861 Weyburn Ave.,34.063363,-118.44394199999999
70380457,Shell Company,11574 SANTA MONICA BLVD,34.044652,-118.453526
70380469,Shell Company,10991 SANTA MONICA BLVD,34.048967,-118.441262
70300210,Ralphs Fresh Fare - Olympic Barrington,11727 W Olympic Blvd,34.0349667,-118.4492017
70380666,Shell Company,11944 W OLYMPIC BLVD,34.032256,-118.453091
70300292,Ralphs Fresh Fare - Olympic Cloverfield,1644 Cloverfield Blvd,34.0270564,-118.4738012
70380393,Shell Company,1802 CLOVERFIELD BLVD,34.025115,-118.470285
70300156,Ralphs Fresh Fare - Century City,10309 W Olympic Blvd,34.0524414,-118.41783889999999
70380503,Shell Company,10564 W PICO BLVD,34.043919,-118.420701
