ID,name
0001111058033,Kroger® Grated Parmesan Cheese
0001111050649,Kroger® CarbMaster® Strawberry Cultured Dairy Blend
0001111042139,Kroger® Natural Spring Water
0004900007940,Powerade Grape Sports Drink
0001111086992,Kroger® Chewy Chocolate Chip Granola Bars
0004900007934,POWERADE Zero Fruit Punch Sports Drink
0004610000122,Sargento® Natural Pepper Jack Cheese Slices
0001376402705,Dave's Killer Bread 21 Whole Grains and Seeds Whole Grain Organic Bread
0001111009773,Kroger Mini Oyster Crackers
0001111058739,Kroger® Extra Sharp Cheddar Cheese Bar
0000000004023,Red Seedless Grapes
0001111080804,Kroger® No Salt Added Sweet Golden Whole Kernel Corn
0001111083763,Kroger® 90 Second Red Beans & Rice
0002100061223,Philadelphia Original Cream Cheese
0000000004080,Green Asparagus
0007218063429,Red Baron® Classic Crust Four Cheese Frozen Pizza
0001111086982,Kroger® Fruit & Grain Mixed Berry Cereal Bars
0002410078895,Cheez-It DUOZ Cheese Crackers Cheddar and Parmesan
0002100065883,Kraft Original Mac N Cheese Macaroni and Cheese Dinner
0007066201003,Nissin Top Ramen Chicken Flavor Ramen Noodle Soup
0000000004075,Red Leaf Lettuce
0001600026316,Tuna Helper Tuna Creamy Broccoli Pasta
0004470003053,Oscar Mayer Deli Fresh Smoked Turkey Breast Sliced Lunch Meat
0001111058718,Kroger® Medium Cheddar Cheese Slices
0000000004132,Small Gala Apple
0001111061376,Kroger® Red Seedless Grapes
0001111058913,Kroger® Shredded Mexican Style Cheese Blend
0001111071786,Kroger® Light Red Kidney Beans
0004470003050,Oscar Mayer Deli Fresh Oven Roasted Turkey Breast Sliced Lunch Meat
0001111001446,Kroger® Classic Tomato Traditional Pasta Sauce
0003338320038,Organic - Berries - Strawberries
0004411540304,Cedar's Topped Organic Roasted Red Pepper Hommus
0000000004134,Large Gala Apple
0001111050219,Kroger® Blended Strawberry Lowfat Yogurt
0001111087397,Kroger® Self-Rising Crust Four Cheese Frozen Pizza
0003890000143,DOLE® Canned Pineapple Slices Fruit in 100% Pineapple Juice
0000000004093,Medium Yellow Onions
0007585601113,Klondike® Heath Ice Cream Bars Frozen Dessert No Artificial Growth Hormones & Certified Kosher
0000000004087,Roma Tomato
0002840051685,Ruffles® Sour Cream & Onion Flavored Potato Chips
0001111082202,Kroger® Large Pitted Ripe Black Olives
0001600043101,Nature Valley Oats and Honey Crunchy Granola Bars Value Pack
0007218063983,Freschetta® Naturally Rising Crust Four Cheese Frozen Pizza
0001111083141,Kroger® Pineapple Chunks in Pineapple Juice
0001111087587,Kroger® Diced Potatoes O'Brien with Peppers & Onions
0004400006925,Wheat Thins Reduced Fat Whole Grain Wheat Crackers
0004900007932,POWERADE Zero Mixed Berry Sports Drink
0003500051406,Colgate® Cavity Protection Regular Flavor Anticavity Fluoride Toothpaste
0001111002283,Kroger® Chewy Dipped Chocolate Chip Granola Bars
0003500047013,Colgate® Plus Clean and Fresh Soft Manual Toothbrush
0004460000888,Formula 409 Multi-Surface Lemon Cleaner Spray
0081655901302,VO5 Moisture Milks Strawberries & Cream Moisturizing Shampoo
0072225266004,Clif Bar Chocolate Chip Energy Bars
0001111001648,Kroger® EveryDay Plastic Forks
0002220094020,Speed Stick® Regular Deodorant
0000000004062,Cucumber
0001111001821,Kroger® Handmade Style Burrito Size Flour Tortillas
0001111072567,Kroger® Black Beans
0002898910102,MorningStar Farms Meatless Chicken Patties Original
0001070008813,GOOD & PLENTY Licorice Candy Box
0000000004011,Banana
0000000004065,Large Green Bell Pepper
0001111089870,Kroger® Cinnamon Applesauce
0003400011470,REESE'S PIECES Peanut Butter in a Crunchy Shell Candy Box
0000000004038,Yellow Peaches
0001111081018,Kroger® Petite Diced Tomatoes in Tomato Juice
0003800019973,Kellogg's Raisin Bran Crunch Original Breakfast Cereal
0004610000113,Sargento® Natural Sharp Cheddar Cheese Slices
0000000004640,Romaine Lettuce
0007794800907,Calidad White Corn Tortilla Chips
0001111050176,Kroger® Nacho & Taco Blend Shredded Cheese
0001111071791,Kroger® Red Beans
0001111087375,Kroger® No Salt Added Black Beans
0001111080803,Kroger® Sweet Whole Kernel Golden Corn
0001111071789,Kroger® Great Northern Beans
0001111004409,Kroger® 90 Second Spanish Style Rice
0007794800903,Calidad White Corn Tortilla Chips
0001111008418,Kroger® Blueberry Pre-Sliced Bagels
0004157359131,Bakery Fresh Goodness Double Chocolate Chip Cookies
0002100004583,Philadelphia Mixed Berry Whipped Cream Cheese Spread
0001111009528,Western Hearth Extra Large Sweet Onion Sandwich Buns
0001111090329,Crumbdillyicious™ Chocolate Fudge Sandwich Cookies
0001111008419,Kroger® Onion Pre-Sliced Bagels
0001111050643,Kroger® CarbMaster® Gluten Free Cherry Lowfat Yogurt
0001111050638,Kroger® CarbMaster® Blackberry Cultured Dairy Blend
0001111089741,Kroger® Meal-Ready Sides Peas & Carrots
0003338320030,Strawberries
0001111087583,Kroger® Country Style Hash Browns
0004610000268,Sargento® Natural Colby-Pepper Jack Cheese Slices
0001111050659,Kroger® CarbMaster® Vanilla Cultured Dairy Blend
0001111083733,Kroger 90 Second Whole Grain Brown Rice
0004157322510,Bakery Fresh Goodness French Bread
0007432373660,Bimbo Golden Hamburger Buns
0001111090331,Crumbdillyicious™ Duplex Sandwich Cookies
0000000004401,White Peaches
0001111010765,Simple Truth Organic® Organic Raw Apple Cider Vinegar
0001111082646,Kroger® Fruit Cocktail in Heavy Syrup
0001111010003,Simple Truth™ Chocolate Almond Milk
0001111041375,Ralphs® 2% Reduced Fat Milk
