,name,sale_price,reg_price,size
0009396600585,Organic Valley Grass-Fed Organic Whole Milk,0,5.99,1/2 gal
0085631200277,Fairlife 2% Reduced Fat Ultra Filtered Lactose Free Milk,0,5.49,52 fl oz
0081162002138,Fairlife Whole Milk,0,5.49,52 fl oz
0004138309072,Lactaid 100% Lactose Free 2% Reduced Fat Milk,0,5.99,96 fl oz
0001111082556,Kroger® Lactose Free 2% Reduced Fat Milk,0,3.69,1/2 gal
0001111050323,Kroger®  2% Reduced Fat Milk,0,1.89,1 qt
0001111050277,Kroger®  2% Reduced Fat Milk,0,1.69,1 pt
0081162002016,Fairlife Whole Milk Ultra-Filtered,0,5.49,52 fl oz
0074236526495,Horizon Organic Vitamin D Milk,0,4.99,1/2 gal
0081326702001,A2 Milk 2% Reduced Fat Milk,0,4.49,59 fl oz
